factor_name,coefficient,std_error_cluster_date,t_stat,p_value,base_r2,augmented_r2,delta_r2,daily_rank_correlation,n_obs,n_dates
image_score,0.5126087459688299,0.07088088320857368,7.231974585593556,6.072919944699606e-13,0.004207377947420765,0.01304627570775263,0.008838897760331865,0.018373668271009655,20160,2880
image_factor_pc2,0.0016055016075955132,0.0003120016397039969,5.145811442268987,2.8426319209629014e-07,0.004207377947420765,0.008620740488036072,0.0044133625406153065,0.0065082871266049684,20160,2880
image_factor_pc1,0.0006900387781369688,0.00029828716345095297,2.3133371552223405,0.02077424083673196,0.004207377947420765,0.005476607106936648,0.0012692291595158833,0.024901896670152808,20160,2880
image_factor_pc3,0.0005685814393638791,0.0002850791642818978,1.9944685918948564,0.046195012626317755,0.004207377947420765,0.004586685533298329,0.0003793075858775641,0.02647733809849698,20160,2880
