factor_name,coefficient,std_error_cluster_date,t_stat,p_value,base_r2,augmented_r2,delta_r2,daily_rank_correlation,n_obs,n_dates
image_factor_pc2,0.0009051993434706065,0.00031782922392105395,2.848068318901506,0.004429747471003331,0.004207377947420765,0.0055979889518457115,0.0013906110044249465,0.020163690476190484,20160,2880
image_factor_pc3,-0.0011630790970606542,0.0005039027069231916,-2.3081421891189384,0.02106178007939352,0.004207377947420765,0.005774458520644732,0.0015670805732239668,0.009883432539682536,20160,2880
image_score,0.1822483969903588,0.08128620322298402,2.2420581816377334,0.025033469334681424,0.004207377947420765,0.005106276539673882,0.0008988985922531167,0.02036210317460318,20160,2880
image_factor_pc1,-7.46411217198153e-05,0.00031833503428137,-0.23447347505534533,0.8146340962655316,0.004207377947420765,0.004222241833212403,1.4863885791638332e-05,0.017311507936507937,20160,2880
