input_name,n_calibrated_rows,n_calibrated_dates,calibrated_start,calibrated_end,mean_mu_calibrated_horizon,std_mu_calibrated_horizon,rmse_horizon_return,mae_horizon_return,daily_rank_corr_calibrated
mu_image_factor_strict_rank,18396,2628,2015-09-24,2026-03-09,0.0017658960753135287,0.003207759115132114,0.04602767351602082,0.029482024016650576,0.06394513357806961
mu_image_factor_rank,18396,2628,2015-09-24,2026-03-09,0.001765896075313529,0.00334770910144376,0.04610101987273805,0.02957007325479983,0.057466965183083744
mu_image_factor_balanced,18396,2628,2015-09-24,2026-03-09,0.0017658960753135287,0.0030245925595831194,0.046109765000033553,0.029519656869094895,0.0516963913181296
mu_rank_baseline,18396,2628,2015-09-24,2026-03-09,0.0017658960753135287,0.0028587998849161685,0.04610456428092769,0.029500136843059972,0.04397256553163774
mu_sharpe_baseline,18396,2628,2015-09-24,2026-03-09,0.0017658960753135287,0.0025711639061762144,0.04611631853339934,0.029465991572992494,0.027036894247130117
