chart_variant,best_factor,best_factor_t_stat,best_factor_p_value,best_factor_delta_r2,best_factor_daily_rank_corr,best_ensemble_candidate,best_ensemble_rank_corr,best_ensemble_sharpe,ensemble_best_pc1_rank_corr_diff,ensemble_best_score_rank_corr_diff,ensemble_4family_pc1_rank_corr_diff,ensemble_4family_score_rank_corr_diff
close_only,image_factor_pc2,6.859196179073883,8.442802013064465e-12,0.004430541094299967,0.019567901333158756,ensemble_4family,0.0673813439750628,0.5429968093752097,-0.02425839039217069,-0.021316684709672896,-0.025607911040538826,-0.022231431279018447
ohlc_full,image_factor_pc2,2.848068318901506,0.004429747471003331,0.0013906110044249465,0.020163690476190484,ensemble_4family,0.0673813439750628,0.5429968093752097,-0.013214762720467786,-0.009152096649541083,-0.01472746360102565,-0.01230394862089182
ohlc_ma,image_score,7.231974585593556,6.072919944699606e-13,0.008838897760331865,0.018373668271009655,ensemble_4family,0.0673813439750628,0.5429968093752097,-0.003219085681333854,-0.009543976605064126,-0.00493251852930701,-0.010930542657236003
ohlc_volume,image_factor_pc1,-6.5368318796205855,7.405542845617674e-11,0.003876588857559149,0.0198400353479612,ensemble_4family,0.0673813439750628,0.5429968093752097,-0.005415905207702198,-0.026322384853415957,-0.009389331087143276,-0.030027798318273662
ohlc_ma_volume,image_factor_pc3,4.2592690500409525,2.1166831470686986e-05,0.00317956003659825,-0.03634788563413437,ensemble_4family+image_factor_pc1,0.07977602584541549,0.3155021038735279,0.01253517236856003,-0.0062788563728288635,0.012394681870352664,-0.007043276260815926
high_low_range,image_factor_pc3,6.272594209582301,4.084121929537332e-10,0.003971523273746835,0.042883618212964394,ensemble_4family,0.0673813439750628,0.5429968093752097,-0.02094056900490667,-0.016939658046333086,-0.02000675388250496,-0.01574182137240531
