chart_variant,factor_name,coefficient,std_error_cluster_date,t_stat,p_value,base_r2,augmented_r2,delta_r2,daily_rank_correlation,n_obs,n_dates
close_only,image_factor_pc2,0.0014991454800631593,0.00021855993631393283,6.859196179073883,8.442802013064465e-12,0.004207377947420765,0.008637919041720732,0.004430541094299967,0.019567901333158756,20160,2880
close_only,image_factor_pc1,-0.0012762746576707327,0.00026483437895040803,-4.819142675995716,1.516501182408092e-06,0.004207377947420765,0.007904435605899485,0.0036970576584787196,-0.005743947287814782,20160,2880
close_only,image_score,0.23094720170397515,0.05574313234438296,4.143061073015695,3.525718759411767e-05,0.004207377947420765,0.00614335312332126,0.001935975175900495,-0.0006236540033456466,20160,2880
close_only,image_factor_pc3,-0.000520441986464199,0.00030209254067363364,-1.7227899282242116,0.08503390665144583,0.004207377947420765,0.004497873160799748,0.0002904952133789829,-0.0036190742101416904,20160,2880
ohlc_full,image_factor_pc2,0.0009051993434706065,0.00031782922392105395,2.848068318901506,0.004429747471003331,0.004207377947420765,0.0055979889518457115,0.0013906110044249465,0.020163690476190484,20160,2880
ohlc_full,image_factor_pc3,-0.0011630790970606542,0.0005039027069231916,-2.3081421891189384,0.02106178007939352,0.004207377947420765,0.005774458520644732,0.0015670805732239668,0.009883432539682536,20160,2880
ohlc_full,image_score,0.1822483969903588,0.08128620322298402,2.2420581816377334,0.025033469334681424,0.004207377947420765,0.005106276539673882,0.0008988985922531167,0.02036210317460318,20160,2880
ohlc_full,image_factor_pc1,-7.46411217198153e-05,0.00031833503428137,-0.23447347505534533,0.8146340962655316,0.004207377947420765,0.004222241833212403,1.4863885791638332e-05,0.017311507936507937,20160,2880
ohlc_ma,image_score,0.5126087459688299,0.07088088320857368,7.231974585593556,6.072919944699606e-13,0.004207377947420765,0.01304627570775263,0.008838897760331865,0.018373668271009655,20160,2880
ohlc_ma,image_factor_pc2,0.0016055016075955132,0.0003120016397039969,5.145811442268987,2.8426319209629014e-07,0.004207377947420765,0.008620740488036072,0.0044133625406153065,0.0065082871266049684,20160,2880
ohlc_ma,image_factor_pc1,0.0006900387781369688,0.00029828716345095297,2.3133371552223405,0.02077424083673196,0.004207377947420765,0.005476607106936648,0.0012692291595158833,0.024901896670152808,20160,2880
ohlc_ma,image_factor_pc3,0.0005685814393638791,0.0002850791642818978,1.9944685918948564,0.046195012626317755,0.004207377947420765,0.004586685533298329,0.0003793075858775641,0.02647733809849698,20160,2880
ohlc_volume,image_factor_pc1,-0.0013102586739708814,0.00020044246174599984,-6.5368318796205855,7.405542845617674e-11,0.004207377947420765,0.008083966804979914,0.003876588857559149,0.0198400353479612,20160,2880
ohlc_volume,image_score,-0.2584124812018431,0.06718064016343395,-3.846531985601644,0.000122399279669283,0.004207377947420765,0.0058933232904362365,0.0016859453430154714,-0.013913466022861632,20160,2880
ohlc_volume,image_factor_pc3,0.000834799506503657,0.00034045182577167356,2.4520341596391417,0.014264106742102545,0.004207377947420765,0.004939813069754884,0.0007324351223341186,0.0027755332444893265,20160,2880
ohlc_volume,image_factor_pc2,-0.00048610451787830015,0.00029492531729972173,-1.6482291935089792,0.09941476216535539,0.004207377947420765,0.00455855550111639,0.0003511775536956252,0.030447876345953213,20160,2880
ohlc_ma_volume,image_factor_pc3,0.0017656799539806966,0.0004145499927889551,4.2592690500409525,2.1166831470686986e-05,0.004207377947420765,0.007386937984019015,0.00317956003659825,-0.03634788563413437,20160,2880
ohlc_ma_volume,image_factor_pc2,-0.0009423490906292352,0.0002468362950017745,-3.8177087799120497,0.0001375352348069736,0.004207377947420765,0.005559595438483833,0.001352217491063068,-0.02884094157220126,20160,2880
ohlc_ma_volume,image_factor_pc1,0.0008159348096338336,0.00022976949116162854,3.551101608437102,0.0003897712748315296,0.004207377947420765,0.005793187654460907,0.0015858097070401422,0.059206995484132226,20160,2880
ohlc_ma_volume,image_score,0.15042011204723776,0.04505656971986956,3.338472346706496,0.0008531211283699935,0.004207377947420765,0.005381032076731462,0.0011736541293106972,0.028512590371846395,20160,2880
high_low_range,image_factor_pc3,0.001770019866743698,0.00028218306614506244,6.272594209582301,4.084121929537332e-10,0.004207377947420765,0.0081789012211676,0.003971523273746835,0.042883618212964394,20160,2880
high_low_range,image_factor_pc1,-0.0003103502659942421,0.0002977926481260379,-1.0421689989569163,0.29742083750626125,0.004207377947420765,0.004417126986701492,0.00020974903928072663,0.011456621090481494,20160,2880
high_low_range,image_score,-0.08465514761865378,0.08387028863782596,-1.0093580097740815,0.31288779085670626,0.004207377947420765,0.00440529759633812,0.00019791964891735514,0.009303213100502179,20160,2880
high_low_range,image_factor_pc2,0.0001842248727408819,0.0002865466769085485,0.6429140087347003,0.5203310972363329,0.004207377947420765,0.0042683356954281715,6.095774800740639e-05,0.006014495373546352,20160,2880
