chart_variant,candidate_name,base_ensemble,added_factor,rank_corr,top_k_cumulative_return,top_k_sharpe,top_k_hit_rate,top_bottom_spread_mean,turnover,n_rebalances,factor_vs_base_pearson,factor_vs_base_rank_corr_mean,rank_corr_diff_vs_base,bootstrap_ci_low,bootstrap_ci_high,n_dates
close_only,ensemble_4family,ensemble_4family,,0.0673813439750628,1.2395035504810274,0.5429968093752097,0.6041666666666666,0.005907418767196228,0.6013986013986014,144.0,,,0.0,0.0,0.0,2880
close_only,ensemble_best,ensemble_best,,0.06055397863129078,1.508639406967215,0.6425450304067706,0.5833333333333334,0.006180693482248947,0.6643356643356644,144.0,,,0.0,0.0,0.0,2880
close_only,ensemble_4family+image_score,ensemble_4family,image_score,0.04514991269604436,0.9709132207511035,0.43517372001717775,0.6388888888888888,0.004303810404649259,0.6293706293706294,144.0,0.07295926813773167,0.14539854738972935,-0.022231431279018447,-0.034897625885950634,-0.009316732581402762,2880
close_only,ensemble_4family+image_factor_pc1,ensemble_4family,image_factor_pc1,0.04177343293452399,1.4079417002765835,0.5939716659778839,0.5833333333333334,0.006750200273706601,0.6048951048951049,144.0,0.08909513708514323,0.10143157435253734,-0.025607911040538826,-0.039308120814276454,-0.012001467604798546,2880
close_only,ensemble_best+image_score,ensemble_best,image_score,0.03903503509416881,1.046195079930984,0.47095257306848726,0.5902777777777778,0.005152171404084217,0.6223776223776224,144.0,0.07452457356501205,0.13849182746084443,-0.021316684709672896,-0.03407700386111984,-0.00874239867015097,2880
close_only,ensemble_best+image_factor_pc1,ensemble_best,image_factor_pc1,0.036295588239120075,0.7834330524837598,0.38713947525850956,0.5902777777777778,0.0049485938914633565,0.6363636363636364,144.0,0.06920119216879914,0.08789474287223044,-0.02425839039217069,-0.03866369314863672,-0.01024371129329275,2880
ohlc_full,ensemble_4family,ensemble_4family,,0.0673813439750628,1.2395035504810274,0.5429968093752097,0.6041666666666666,0.005907418767196228,0.6013986013986014,144.0,,,0.0,0.0,0.0,2880
ohlc_full,ensemble_best,ensemble_best,,0.06055397863129078,1.508639406967215,0.6425450304067706,0.5833333333333334,0.006180693482248947,0.6643356643356644,144.0,,,0.0,0.0,0.0,2880
ohlc_full,ensemble_4family+image_score,ensemble_4family,image_score,0.055077395354171,0.8458982630958563,0.4241790598580838,0.6458333333333334,0.004888999645638472,0.6398601398601399,144.0,0.12009178793682561,0.14187810516428223,-0.01230394862089182,-0.02517338448544615,0.0006198269908444937,2880
ohlc_full,ensemble_4family+image_factor_pc1,ensemble_4family,image_factor_pc1,0.05265388037403716,1.6759234696113392,0.6473962360716622,0.6041666666666666,0.004731833827037988,0.6118881118881119,144.0,0.13966352892878817,0.1556093984255399,-0.01472746360102565,-0.02799040951971926,-0.0016001185057269464,2880
ohlc_full,ensemble_best+image_score,ensemble_best,image_score,0.051571776183626294,1.1439069073682435,0.49784163630634987,0.6458333333333334,0.005514687131833443,0.6643356643356644,144.0,0.11839716708084573,0.1452967504194294,-0.009152096649541083,-0.02170740331174334,0.0034938942919823172,2880
ohlc_full,ensemble_best+image_factor_pc1,ensemble_best,image_factor_pc1,0.04733921591082299,1.7593415605672447,0.6884505339964978,0.6041666666666666,0.005887067903998802,0.6188811188811189,144.0,0.14981917276858536,0.1611939882130013,-0.013214762720467786,-0.026395506895473445,-4.492448156566511e-05,2880
ohlc_ma,ensemble_4family,ensemble_4family,,0.0673813439750628,1.2395035504810274,0.5429968093752097,0.6041666666666666,0.005907418767196228,0.6013986013986014,144.0,,,0.0,0.0,0.0,2880
ohlc_ma,ensemble_4family+image_factor_pc1,ensemble_4family,image_factor_pc1,0.06244882544575579,0.6975461635360711,0.3570097221029335,0.5763888888888888,0.004893357555137753,0.548951048951049,144.0,0.22553035370627855,0.23270217764650208,-0.00493251852930701,-0.017418640307891413,0.007220015787009734,2880
ohlc_ma,ensemble_best,ensemble_best,,0.06055397863129078,1.508639406967215,0.6425450304067706,0.5833333333333334,0.006180693482248947,0.6643356643356644,144.0,,,0.0,0.0,0.0,2880
