input_name,source_model_name,is_recommended,strict_window_ma,rank_corr,top_k_sharpe,top_k_cumulative_return,top_k_hit_rate,turnover,rank_corr_diff_vs_base,bootstrap_ci_low,bootstrap_ci_high,factor_vs_base_rank_corr_mean,input_role
mu_image_factor_rank,ensemble_4family+image_factor_pc1,True,False,0.0797760258454154,0.3155021038735279,0.5516933409152442,0.5694444444444444,0.548951048951049,0.0123946818703526,1.3290229269058142e-05,0.0250495157655169,0.2193027183465593,Recommended ranking-improved input using full OHLC+MA+Volume image factor PC1
mu_image_factor_strict_rank,ensemble_4family+image_factor_pc1,False,True,0.0770751829100487,0.6052936080216049,1.4324024160342748,0.5833333333333334,0.5524475524475524,0.0096938389349858,-0.0028972817322878,0.0219502889674376,0.2810299682010262,Conservative robustness input using MA recomputed only within each 60-day image window
mu_image_factor_balanced,ensemble_best+image_factor_pc1,False,False,0.0730891509998507,0.510944078742562,1.1635891261564906,0.5694444444444444,0.5874125874125874,0.01253517236856,0.0005717692171368,0.0244836721291574,0.2450796992968056,Secondary image-factor input with higher Sharpe than the 4-family add-on
mu_rank_baseline,ensemble_4family,False,False,0.0673813439750628,0.5429968093752097,1.2395035504810274,0.6041666666666666,0.6013986013986014,0.0,0.0,0.0,,Rank-correlation baseline before image-factor ablation add-on
mu_sharpe_baseline,ensemble_best,False,False,0.0605539786312907,0.6425450304067706,1.508639406967215,0.5833333333333334,0.6643356643356644,0.0,0.0,0.0,,Sharpe-stable baseline from prior ensemble sprint
