factor_name,coefficient,std_error_cluster_date,t_stat,p_value,base_r2,augmented_r2,delta_r2,daily_rank_correlation,n_obs,n_dates
image_factor_pc2,0.006258772165582746,0.0008909539725768647,7.024798539795261,1.0818013151947525e-11,0.023927507184228092,0.06136345138612631,0.03743594420189822,0.005654761904761907,2520,360
image_factor_pc3,-0.002919167456999549,0.0006490568755323414,-4.497552629121008,9.293611787697387e-06,0.023927507184228092,0.0325368400469217,0.008609332862693608,-0.036011904761904766,2520,360
image_score,-0.41289768838457547,0.16843131838776867,-2.451430602911909,0.014704895610036184,0.023927507184228092,0.029742519941409973,0.005815012757181881,0.08134920634920638,2520,360
image_factor_pc1,0.00038240231591216405,0.0006026876763358762,0.6344949978686013,0.526161948417893,0.023927507184228092,0.02426204043849689,0.00033453325426879843,0.08115079365079365,2520,360
