factor_name,coefficient,std_error_cluster_date,t_stat,p_value,base_r2,augmented_r2,delta_r2,daily_rank_correlation,n_obs,n_dates
image_factor_pc3,0.001770019866743698,0.00028218306614506244,6.272594209582301,4.084121929537332e-10,0.004207377947420765,0.0081789012211676,0.003971523273746835,0.042883618212964394,20160,2880
image_factor_pc1,-0.0003103502659942421,0.0002977926481260379,-1.0421689989569163,0.29742083750626125,0.004207377947420765,0.004417126986701492,0.00020974903928072663,0.011456621090481494,20160,2880
image_score,-0.08465514761865378,0.08387028863782596,-1.0093580097740815,0.31288779085670626,0.004207377947420765,0.00440529759633812,0.00019791964891735514,0.009303213100502179,20160,2880
image_factor_pc2,0.0001842248727408819,0.0002865466769085485,0.6429140087347003,0.5203310972363329,0.004207377947420765,0.0042683356954281715,6.095774800740639e-05,0.006014495373546352,20160,2880
