candidate_name,base_ensemble,added_factor,rank_corr,top_k_cumulative_return,top_k_sharpe,top_k_hit_rate,top_bottom_spread_mean,turnover,n_rebalances,factor_vs_base_pearson,factor_vs_base_rank_corr_mean,rank_corr_diff_vs_base,bootstrap_ci_low,bootstrap_ci_high,n_dates
ensemble_4family,ensemble_4family,,0.0673813439750628,1.2395035504810274,0.5429968093752097,0.6041666666666666,0.005907418767196228,0.6013986013986014,144.0,,,0.0,0.0,0.0,2880
ensemble_best,ensemble_best,,0.06055397863129078,1.508639406967215,0.6425450304067706,0.5833333333333334,0.006180693482248947,0.6643356643356644,144.0,,,0.0,0.0,0.0,2880
ensemble_4family+image_score,ensemble_4family,image_score,0.0516395226026575,0.7850096955679693,0.3811216321533401,0.5972222222222222,0.003728521941954058,0.6468531468531469,144.0,0.0813453000536509,0.13917622928621298,-0.01574182137240531,-0.029108697122834298,-0.002827150536249865,2880
ensemble_4family+image_factor_pc1,ensemble_4family,image_factor_pc1,0.04713748739855822,0.8108500859962051,0.3933997242980184,0.5833333333333334,0.005007015382587349,0.5909090909090909,144.0,0.11104854018221975,0.12227697055410032,-0.02000675388250496,-0.03384137694621552,-0.0066640045067758395,2880
ensemble_best+image_score,ensemble_best,image_score,0.04361432058495768,0.8650572242015142,0.40811591376279155,0.5902777777777778,0.0029923957013791892,0.6398601398601399,144.0,0.0665956049228216,0.12697881645458242,-0.016939658046333086,-0.03024246780255919,-0.003801330568991913,2880
ensemble_best+image_factor_pc1,ensemble_best,image_factor_pc1,0.039613409626384107,0.5949436175723117,0.33893748407445856,0.5555555555555556,0.003423181691105338,0.6398601398601399,144.0,0.1118442919842036,0.11384225603694102,-0.02094056900490667,-0.0343539704299246,-0.0076701837643484315,2880
