factor_name,coefficient,std_error_cluster_date,t_stat,p_value,base_r2,augmented_r2,delta_r2,daily_rank_correlation,n_obs,n_dates
image_factor_pc3,0.003320178981436722,0.0006644293701685011,4.997038256443593,9.113566723506494e-07,0.008678003249160793,0.02601007408532907,0.01733207083616828,0.011210317460317452,2520,360
image_factor_pc1,-0.001639436452571719,0.00046521924630963437,-3.524008229617751,0.0004800199408026007,0.008678003249160793,0.01910767444243311,0.010429671193272316,-0.10793650793650797,2520,360
image_score,-0.32806810214537974,0.18274649657921663,-1.7952087087106994,0.07346142594929694,0.008678003249160793,0.011771837531038942,0.0030938342818781495,0.12242063492063496,2520,360
image_factor_pc2,-0.0005707149245488226,0.0006847645031427615,-0.8334470054003931,0.40514683787061045,0.008678003249160793,0.009594935813165062,0.0009169325640042691,-0.03234126984126983,2520,360
