model,start,end,n_dates,n_rows,rank_corr,top_k_sharpe,top_k_cumulative_return,top_k_hit_rate,rmse,turnover
baseline_same_grid,2014-09-24,2019-12-19,1320,9240,0.03106060606060607,0.12381697856538233,0.03899411596321056,0.5606060606060606,0.03539058757728022,0.5538461538461539
extra_pretrained_same_grid,2014-09-24,2019-12-19,1320,9240,-0.07521226248966109,-0.0277225988649543,-0.03940194886480197,0.5606060606060606,0.0358075599670195,0.5923076923076923
extra_pretrained_full_grid,2014-09-24,2026-03-09,2880,20160,-0.05809553246618335,0.10027592069508898,0.005031256774073567,0.5555555555555556,0.046500159112149095,0.6048951048951049
