factor_name,coefficient,std_error_cluster_date,t_stat,p_value,base_r2,augmented_r2,delta_r2,daily_rank_correlation,n_obs,n_dates
image_factor_pc2,-0.001213295215580288,0.0004073922222077069,-2.978199262139314,0.0030965244391834013,0.016657405986458484,0.020697973291604277,0.004040567305145792,-0.04920634920634921,2520,360
image_factor_pc1,0.0006249205398410108,0.0003452141548481415,1.810240197467891,0.07109453428519208,0.016657405986458484,0.018288170293283112,0.001630764306824628,0.09880952380952385,2520,360
image_score,-0.28238871578801095,0.2288479363787674,-1.2339578859939027,0.21802579297005664,0.016657405986458484,0.017850450052556588,0.0011930440660981034,0.03531746031746032,2520,360
image_factor_pc3,-0.0005877524437729899,0.0005713304064412008,-1.0287435031404708,0.3042928273946872,0.016657405986458484,0.017355348709626295,0.0006979427231678104,-0.01795634920634921,2520,360
