date,asset,ret_pc_loading_1,ret_pc_loading_2,ret_pc_loading_3
2014-06-02,alternative,0.3969668255976768,-0.017124796908697937,0.9167848319778551
2014-06-02,corp_bond_ig,0.06416480907293509,-0.024000597365820962,-0.03681623463990846
2014-06-02,developed_equity,0.3503815146842154,0.9190774409636271,-0.13841829893548954
2014-06-02,emerging_equity,0.6278384616974181,-0.19111044513840186,-0.2553705824074877
2014-06-02,korea_equity,0.5665217792169727,-0.3402884869885414,-0.26805660818606925
2014-06-02,short_treasury,0.0023290483348942076,-0.002745973618537599,-0.00215839749295168
2014-06-02,treasury_7_10y,0.019988147468973858,-0.0458298284920159,-0.04378781806603195
2014-06-03,alternative,0.3979034098254178,-0.03058621433120393,0.9158739156077197
2014-06-03,corp_bond_ig,0.06472380573753789,-0.032911118171794485,-0.043962933144540584
2014-06-03,developed_equity,0.3559185429931919,0.9184473082263304,-0.12798528580336332
2014-06-03,emerging_equity,0.6265512859925199,-0.19203032134029102,-0.2587234969073747
2014-06-03,korea_equity,0.5637836744877105,-0.33933228318673697,-0.2713613651849395
2014-06-03,short_treasury,0.0022937514644915235,-0.0028975709655699694,-0.002410278964177106
2014-06-03,treasury_7_10y,0.019541987622339663,-0.04904533781203034,-0.0477634800327987
2014-06-04,alternative,0.3975388203868931,-0.030361859113007924,0.9160672654849192
2014-06-04,corp_bond_ig,0.0643977379701971,-0.029834966617362773,-0.044247553733236855
2014-06-04,developed_equity,0.3594326788354499,0.9164621370980106,-0.12937222733041565
2014-06-04,emerging_equity,0.6258039589892443,-0.19236584112747568,-0.2596728775659839
2014-06-04,korea_equity,0.5626860719088307,-0.34496085695720524,-0.26904084194241795
2014-06-04,short_treasury,0.002277472271284723,-0.002954351138411647,-0.0022750110301300794
2014-06-04,treasury_7_10y,0.019302060204643083,-0.04768485805694631,-0.04803740458750001
2014-06-05,alternative,0.3978954387739615,-0.02776983775743802,0.9160199248471274
2014-06-05,corp_bond_ig,0.06529010897009146,-0.02806096002377836,-0.04233699875247776
2014-06-05,developed_equity,0.3472663124522447,0.9212251535644959,-0.12713911682715065
2014-06-05,emerging_equity,0.6299022192324526,-0.18169602028880652,-0.25714679789076095
2014-06-05,korea_equity,0.5652758530418366,-0.3389482310274502,-0.27343347192965645
2014-06-05,short_treasury,0.0024034276095332473,-0.0027686468930999846,-0.002109430514478455
2014-06-05,treasury_7_10y,0.022431170699543538,-0.04334307975322834,-0.045342384785487674
2014-06-06,alternative,0.39883380851699574,-0.0272568618145065,0.9155950862437837
