window_tag,lookback,horizon,chart_variant,n_rows,n_dates,n_folds,best_p_factor,best_p_t_stat,best_p_value,best_p_delta_r2,best_p_daily_rank_corr,best_rank_factor,best_daily_rank_corr,best_rank_p_value,best_rank_delta_r2
lookback_20_horizon_20,20,20,ohlc_ma_volume,2520,360,6,image_factor_pc2,-2.978199262139314,0.0030965244391834,0.0040405673051457,-0.0492063492063492,image_factor_pc1,0.0988095238095238,0.071094534285192,0.0016307643068246
lookback_60_horizon_20,60,20,ohlc_ma_volume,2520,360,6,image_factor_pc3,4.997038256443593,9.113566723506494e-07,0.0173320708361682,0.0112103174603174,image_score,0.1224206349206349,0.0734614259492969,0.0030938342818781
lookback_60_horizon_60,60,60,ohlc_ma_volume,2520,360,6,image_factor_pc2,7.024798539795261,1.0818013151947524e-11,0.0374359442018982,0.0056547619047619,image_score,0.0813492063492063,0.0147048956100361,0.0058150127571818
