window_tag,lookback,horizon,factor_name,coefficient,std_error_cluster_date,t_stat,p_value,base_r2,augmented_r2,delta_r2,daily_rank_correlation,n_obs,n_dates
lookback_20_horizon_20,20,20,image_factor_pc2,-0.0012132952155802,0.0004073922222077,-2.978199262139314,0.0030965244391834,0.0166574059864584,0.0206979732916042,0.0040405673051457,-0.0492063492063492,2520,360
lookback_20_horizon_20,20,20,image_factor_pc1,0.000624920539841,0.0003452141548481,1.810240197467891,0.071094534285192,0.0166574059864584,0.0182881702932831,0.0016307643068246,0.0988095238095238,2520,360
lookback_20_horizon_20,20,20,image_score,-0.2823887157880109,0.2288479363787674,-1.2339578859939029,0.2180257929700566,0.0166574059864584,0.0178504500525565,0.0011930440660981,0.0353174603174603,2520,360
lookback_20_horizon_20,20,20,image_factor_pc3,-0.0005877524437729,0.0005713304064412,-1.0287435031404708,0.3042928273946872,0.0166574059864584,0.0173553487096262,0.0006979427231678,-0.0179563492063492,2520,360
lookback_60_horizon_20,60,20,image_factor_pc3,0.0033201789814367,0.0006644293701685,4.997038256443593,9.113566723506494e-07,0.0086780032491607,0.026010074085329,0.0173320708361682,0.0112103174603174,2520,360
lookback_60_horizon_20,60,20,image_factor_pc1,-0.0016394364525717,0.0004652192463096,-3.524008229617751,0.0004800199408026,0.0086780032491607,0.0191076744424331,0.0104296711932723,-0.1079365079365079,2520,360
lookback_60_horizon_20,60,20,image_score,-0.3280681021453797,0.1827464965792166,-1.7952087087106994,0.0734614259492969,0.0086780032491607,0.0117718375310389,0.0030938342818781,0.1224206349206349,2520,360
lookback_60_horizon_20,60,20,image_factor_pc2,-0.0005707149245488,0.0006847645031427,-0.8334470054003931,0.4051468378706104,0.0086780032491607,0.009594935813165,0.0009169325640042,-0.0323412698412698,2520,360
lookback_60_horizon_60,60,60,image_factor_pc2,0.0062587721655827,0.0008909539725768,7.024798539795261,1.0818013151947524e-11,0.023927507184228,0.0613634513861263,0.0374359442018982,0.0056547619047619,2520,360
lookback_60_horizon_60,60,60,image_factor_pc3,-0.0029191674569995,0.0006490568755323,-4.497552629121008,9.293611787697388e-06,0.023927507184228,0.0325368400469217,0.0086093328626936,-0.0360119047619047,2520,360
lookback_60_horizon_60,60,60,image_score,-0.4128976883845754,0.1684313183877686,-2.451430602911909,0.0147048956100361,0.023927507184228,0.0297425199414099,0.0058150127571818,0.0813492063492063,2520,360
lookback_60_horizon_60,60,60,image_factor_pc1,0.0003824023159121,0.0006026876763358,0.6344949978686013,0.526161948417893,0.023927507184228,0.0242620404384968,0.0003345332542687,0.0811507936507936,2520,360
