candidate_name,base_ensemble,added_factor,rank_corr,top_k_cumulative_return,top_k_sharpe,top_k_hit_rate,top_bottom_spread_mean,turnover,n_rebalances,factor_vs_base_pearson,factor_vs_base_rank_corr_mean,rank_corr_diff_vs_base,bootstrap_ci_low,bootstrap_ci_high,n_dates
ensemble_4family+image_factor_pc1,ensemble_4family,image_factor_pc1,0.07977602584541549,0.5516933409152442,0.3155021038735279,0.5694444444444444,0.004835297957968162,0.548951048951049,144.0,0.219584371366489,0.21930271834655934,0.012394681870352664,1.3290229269058142e-05,0.025049515765516946,2880
ensemble_best+image_factor_pc1,ensemble_best,image_factor_pc1,0.07308915099985079,1.1635891261564906,0.510944078742562,0.5694444444444444,0.008985563477563832,0.5874125874125874,144.0,0.24547879247528828,0.24507969929680568,0.01253517236856003,0.000571769217136847,0.0244836721291574,2880
ensemble_4family,ensemble_4family,,0.0673813439750628,1.2395035504810274,0.5429968093752097,0.6041666666666666,0.005907418767196228,0.6013986013986014,144.0,,,0.0,0.0,0.0,2880
ensemble_4family+image_score,ensemble_4family,image_score,0.06064678946325821,0.707328150993773,0.3636972322784151,0.5694444444444444,0.004429116214912664,0.5734265734265734,144.0,0.19760901626799582,0.27943962819420065,-0.007043276260815926,-0.018536926157894214,0.004290202348406853,2880
ensemble_best,ensemble_best,,0.06055397863129078,1.508639406967215,0.6425450304067706,0.5833333333333334,0.006180693482248947,0.6643356643356644,144.0,,,0.0,0.0,0.0,2880
ensemble_best+image_score,ensemble_best,image_score,0.054275122258461914,0.6558482268585804,0.3592696045586667,0.5208333333333334,0.004462056266162619,0.6223776223776224,144.0,0.22930980853258104,0.31540025662310966,-0.0062788563728288635,-0.01721644503452238,0.004808121425917769,2880
