spec,factor_name,t_stat,p_value,delta_r2,daily_rank_correlation
original_full_series_ma,image_score,3.338472346706496,0.0008531211283699,0.0011736541293106,0.0285125903718463
original_full_series_ma,image_factor_pc1,3.551101608437102,0.0003897712748315,0.0015858097070401,0.0592069954841322
original_full_series_ma,image_factor_pc2,-3.8177087799120497,0.0001375352348069,0.001352217491063,-0.0288409415722012
original_full_series_ma,image_factor_pc3,4.2592690500409525,2.1166831470686983e-05,0.0031795600365982,-0.0363478856341343
strict_window_ma,image_score,-1.3689355994206158,0.1711261983243601,0.0002474836985726,0.0086693964530713
strict_window_ma,image_factor_pc1,0.1621294568056614,0.8712152872528964,2.469292211038088e-06,0.0687222750953184
strict_window_ma,image_factor_pc2,-0.6404651348011667,0.5219212187329543,6.461623244158332e-05,0.0483915834760184
strict_window_ma,image_factor_pc3,1.5570660276957655,0.1195647226180562,0.0004068199447987,-0.0279078483877529
